run,mode,boids,block_size,ms_per_step
1,Naive,10000,64,1.519365
1,Scattered,10000,64,0.107097
1,Coherent,10000,64,0.095185
1,Naive,10000,128,1.519245
1,Scattered,10000,128,0.106207
1,Coherent,10000,128,0.094106
1,Naive,10000,256,1.585624
1,Scattered,10000,256,0.106200
1,Coherent,10000,256,0.094543
2,Naive,10000,128,1.519114
2,Scattered,10000,128,0.106532
2,Coherent,10000,128,0.094076
2,Naive,10000,256,1.585837
2,Scattered,10000,256,0.105716
2,Coherent,10000,256,0.094347
2,Naive,10000,64,1.519275
2,Scattered,10000,64,0.107092
2,Coherent,10000,64,0.094405
3,Naive,10000,256,1.586012
3,Scattered,10000,256,0.106134
3,Coherent,10000,256,0.094482
3,Naive,10000,64,1.519555
3,Scattered,10000,64,0.107133
3,Coherent,10000,64,0.094829
3,Naive,10000,128,1.519285
3,Scattered,10000,128,0.106498
3,Coherent,10000,128,0.094036
4,Naive,10000,64,1.518886
4,Scattered,10000,64,0.107133
4,Coherent,10000,64,0.094638
4,Naive,10000,128,1.519111
4,Scattered,10000,128,0.106563
4,Coherent,10000,128,0.093935
4,Naive,10000,256,1.585686
4,Scattered,10000,256,0.106237
4,Coherent,10000,256,0.094202
5,Naive,10000,128,1.519208
5,Scattered,10000,128,0.106043
5,Coherent,10000,128,0.094113
5,Naive,10000,256,1.585882
5,Scattered,10000,256,0.106318
5,Coherent,10000,256,0.094316
5,Naive,10000,64,1.519291
5,Scattered,10000,64,0.106987
5,Coherent,10000,64,0.094593
