run,cell_width,mode,boids,block_size,ms_per_step
1,5,Scattered,1000,128,0.057391
1,5,Coherent,1000,128,0.056270
1,5,Scattered,5000,128,0.105431
1,5,Coherent,5000,128,0.097441
1,5,Scattered,10000,128,0.113716
1,5,Coherent,10000,128,0.102121
1,10,Scattered,1000,128,0.051284
1,10,Coherent,1000,128,0.050795
1,10,Scattered,5000,128,0.095773
1,10,Coherent,5000,128,0.089236
1,10,Scattered,10000,128,0.106536
1,10,Coherent,10000,128,0.093919
2,10,Scattered,1000,128,0.051583
2,10,Coherent,1000,128,0.049973
2,10,Scattered,5000,128,0.095744
2,10,Coherent,5000,128,0.089327
2,10,Scattered,10000,128,0.106716
2,10,Coherent,10000,128,0.094362
2,5,Scattered,1000,128,0.061741
2,5,Coherent,1000,128,0.055877
2,5,Scattered,5000,128,0.106036
2,5,Coherent,5000,128,0.097425
2,5,Scattered,10000,128,0.113691
2,5,Coherent,10000,128,0.102495
3,5,Scattered,1000,128,0.056950
3,5,Coherent,1000,128,0.055848
3,5,Scattered,5000,128,0.106104
3,5,Coherent,5000,128,0.097388
3,5,Scattered,10000,128,0.114316
3,5,Coherent,10000,128,0.102439
3,10,Scattered,1000,128,0.051484
3,10,Coherent,1000,128,0.049879
3,10,Scattered,5000,128,0.095252
3,10,Coherent,5000,128,0.089417
3,10,Scattered,10000,128,0.106339
3,10,Coherent,10000,128,0.094339
