run,mode,boids,ms_per_frame,fps
1,Naive,1000,53.1161,18.8267
1,Scattered,1000,54.7745,18.2567
1,Coherent,1000,54.0295,18.5084
1,Naive,5000,54.9943,18.1837
1,Scattered,5000,50.7739,19.6951
1,Coherent,5000,50.335,19.8669
1,Naive,10000,52.8139,18.9344
1,Scattered,10000,49.9248,20.0301
1,Coherent,10000,52.1997,19.1572
2,Naive,1000,52.6643,18.9882
2,Scattered,1000,54.0711,18.4942
2,Coherent,1000,50.1938,19.9228
2,Naive,5000,55.2377,18.1036
2,Scattered,5000,54.7454,18.2664
2,Coherent,5000,53.699,18.6223
2,Naive,10000,57.2428,17.4695
2,Scattered,10000,55.3359,18.0714
2,Coherent,10000,54.8367,18.236
3,Naive,1000,55.0343,18.1705
3,Scattered,1000,55.0094,18.1787
3,Coherent,1000,54.5147,18.3437
3,Naive,5000,55.5674,17.9961
3,Scattered,5000,55.0385,18.1691
3,Coherent,5000,54.858,18.2289
3,Naive,10000,57.8278,17.2927
3,Scattered,10000,55.4502,18.0342
3,Coherent,10000,55.1535,18.1312
